capability	happy_path	alternate_failure	persistence_recreation	accessibility_adaptive
app-shell-home-navigation	WhipNavigationTest#everyFirstClassDestinationIsReachableThroughVisibleNavigation	WhipNavigationTest#switchingPrimaryAreasResetsEachAreaToItsFirstHeading	CoreFeatureJourneyE2ETest#seededFeaturesRenderThroughRealRepositoriesAndSurviveActivityRecreation	WhipAccessibilityChecksTest#primaryAreasPassComposeAccessibilityTestFramework
tasks-create-edit-complete	ProductivityCreationJourneyE2ETest#taskHabitAndGoalCanBeCreatedAndUsedThroughTheRealUi	TaskDeletionUiTest#taskCardSeparatesDetailsFromDirectEditing	PersistentStorageE2ETest#coreRecordsRemainAfterDatabaseIsClosedAndReopened	WhipAccessibilityChecksTest#productivityEditorsAndDetailsPassAccessibilityChecks
tasks-schedule-recurrence-history	TaskDeletionUiTest#completedRecurringTaskOffersOccurrenceLevelRecovery	TaskDeletionUiTest#seriesHistoryShowsMovedAndSkippedOccurrencesAndAllowsUndoSkip	TaskRepositoryTest#completedRecurringOccurrenceCanBeReopenedWithoutLosingItsStepState	AdaptiveWhipScreenTest#taskDetailsStayInsideTheContentPaneOnAFlatBookFold
tasks-bulk-planning-filters	WhipComposeSemanticsTest#taskToolbarKeepsTemporaryControlsAttachedAndFocused	TaskRepositoryTest#bulkMetadataRollsBackEveryTaskWhenAnyTargetIsMissing	TaskRepositoryTest#bulkMoveUndoRestoresInboxOnceAndRecurringSchedulesAtomically	InteractionControlUiTest#searchFilterSummariesRemainReadableAndTouchSizedWhenSeveralAreActive
habits-checkoff-count-history	ProductivityCreationJourneyE2ETest#taskHabitAndGoalCanBeCreatedAndUsedThroughTheRealUi	HabitRepositoryTest#aRealCheckInClearsSkipAndFailedCheckOffDoesNotInventValueOne	HabitRepositoryTest#logCanBeBackdatedAndEditedWithoutChangingItsIdentity	WhipAccessibilityChecksTest#productivityEditorsAndDetailsPassAccessibilityChecks
habits-skip-streak-reminders	HabitSkipJourneyE2ETest#skipIsOneVisibleNeutralStateWithHistoryInsightsAndUndo	HabitRepositoryTest#skipIsASeparateOccurrenceThatNeverCreatesAMeasurement	WhipDatabaseMigrationTest#migrationEightToNineMovesNeutralOccurrencesOutOfMeasurementsAndDropsMissing	HabitSkipJourneyE2ETest#skipIsOneVisibleNeutralStateWithHistoryInsightsAndUndo
habits-schedules-checklists-health	WhipComposeSemanticsTest#globalAddAndHabitEditorAreReachableThroughComposeSemantics	HabitRepositoryTest#invalidEndConditionsAreRejectedAndIrrelevantFieldsAreCleared	HealthReconciliationTest#providerEditsAreUpsertedAndProviderDeletionsAreMirrored	AdaptiveWhipScreenTest#compactHabitEditorRemainsReachableAtTwoHundredPercentText
goals-create-record-insights	ProductivityCreationJourneyE2ETest#taskHabitAndGoalCanBeCreatedAndUsedThroughTheRealUi	ProductivityDefaultsUiTest#goalEditorMarksRequiredTargetAndExplainsRejectedSave	GoalRepositoryTest#cumulativeGoalStoresBackdatedContributions	WhipAccessibilityChecksTest#productivityEditorsAndDetailsPassAccessibilityChecks
goals-elapsed-milestones-consistency	CoreFeatureJourneyE2ETest#seededFeaturesRenderThroughRealRepositoriesAndSurviveActivityRecreation	GoalRepositoryTest#numericGoalsRequireFiniteTargets	GoalRepositoryTest#elapsedGoalPersistsDisplayRejectsMeasurementsAndResetsExactStart	AdaptiveWhipScreenTest#compactGoalEditorRemainsReachableAtTwoHundredPercentText
tracks-definition-entry-crud	FirstClassWorkflowE2ETest#trackCanBeDefinedPopulatedAndReopenedThroughTheRealUi	TrackRepositoryTest#crudSearchCsvAndDestructiveChoiceConfirmationPreserveIdentity	TrackRepositoryTest#projectionsNeverExposeATrackBeforeItsRequiredFields	AdaptiveWhipScreenTest#expandingContentPreservesSelectedTrackAndProvidesAHomeRoute
tracks-typed-fields-sorting-csv	InteractionControlUiTest#trackScaleEntryUsesTheConfiguredFractionalIncrementAndCanBeCleared	TrackRepositoryTest#replacingAChoiceRetargetsEntriesAndAutomationConditionsWithoutChangingTheirIdentity	TrackRepositoryTest#fractionalScaleRoundTripsThroughStorageCsvAnalyticsAndSchemaEdits	AutomationConfigurationE2ETest#trackSortMenuOffersIdentityAndLongTextFields
